query_name,best_index_type,best_execution_time
address_ending,reverse,0.006486415863037109
address_ending_bitmap,bitmap,0.0031461715698242188
address_ending_btree,btree,0.002683401107788086
address_ending_gist,gist,0.0019176006317138672
address_ending_hash,hash,0.0031397342681884766
address_postal_search,reverse,-1.0
address_postal_search_bitmap,bitmap,-1.0
address_postal_search_btree,btree,-1.0
address_postal_search_gist,gist,-1.0
address_postal_search_hash,hash,-1.0
address_search,gist,0.002504110336303711
address_search_bitmap,bitmap,0.00875091552734375
address_search_btree,btree,0.013002872467041016
address_search_hash,hash,0.013567686080932617
address_search_reverse,reverse,0.012376546859741211
analytics_status_count,bitmap,0.03962826728820801
analytics_status_count_btree,btree,0.046642303466796875
analytics_status_count_gist,gist,0.03941082954406738
analytics_status_count_hash,hash,0.038822174072265625
analytics_status_count_reverse,reverse,0.04886031150817871
category_lookup,hash,0.004876375198364258
category_lookup_bitmap,bitmap,0.002240419387817383
category_lookup_btree,btree,0.001973867416381836
category_lookup_gist,gist,0.005902767181396484
category_lookup_reverse,reverse,0.005136251449584961
category_performance,btree,1.902515172958374
category_performance_bitmap,bitmap,1.6174604892730713
category_performance_gist,gist,1.6198430061340332
category_performance_hash,hash,1.6267788410186768
category_performance_reverse,reverse,1.5181467533111572
category_products,bitmap,0.002547740936279297
category_products_bitmap,bitmap,0.0058820247650146484
category_products_btree,btree,0.002162456512451172
category_products_gist,gist,0.0023453235626220703
category_products_hash,hash,0.002797365188598633
category_products_reverse,reverse,0.0025091171264648438
cohort_analysis,bitmap,-1.0
cohort_analysis_btree,btree,-1.0
cohort_analysis_gist,gist,-1.0
cohort_analysis_hash,hash,-1.0
cohort_analysis_reverse,reverse,-1.0
complex_and_or_filter,bitmap,0.0073964595794677734
complex_and_or_filter_btree,btree,0.006653785705566406
complex_and_or_filter_gist,gist,0.0022966861724853516
complex_and_or_filter_hash,hash,0.0026068687438964844
complex_and_or_filter_reverse,reverse,0.006492137908935547
complex_range_query,gist,0.1385822296142578
complex_range_query_bitmap,bitmap,0.1574249267578125
complex_range_query_btree,btree,0.12249445915222168
complex_range_query_hash,hash,0.12763762474060059
complex_range_query_reverse,reverse,0.13163328170776367
customer_domain_analysis,reverse,1.3830454349517822
