query_name,index_type,query,index_description,index_statement,execution_time,cpu_start,cpu_end,cpu_change,memory_start,memory_end,memory_change,result_count,select,insert,update,delete,create,drop,alter,join,where,group by,order by,having,limit,between,in,like,error
category_performance,btree,"SELECT c.name as category_name, DATE_TRUNC('month', o.order_date) as month, COUNT(DISTINCT o.order_id) as total_orders, SUM(oi.quantity) as items_sold, SUM(oi.quantity * oi.price) as revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN orderitems oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id GROUP BY c.name, month ORDER BY c.name, month;",B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),1.902515172958374,0.0,0.0,0.0,79.37109375,80.515625,1.14453125,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_hash,hash,"SELECT c.name as category_name, DATE_TRUNC('month', o.order_date) as month, COUNT(DISTINCT o.order_id) as total_orders, SUM(oi.quantity) as items_sold, SUM(oi.quantity * oi.price) as revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN orderitems oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id GROUP BY c.name, month ORDER BY c.name, month;",Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),1.6267788410186768,0.0,0.0,0.0,80.515625,80.52734375,0.01171875,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_bitmap,bitmap,"SELECT c.name as category_name, DATE_TRUNC('month', o.order_date) as month, COUNT(DISTINCT o.order_id) as total_orders, SUM(oi.quantity) as items_sold, SUM(oi.quantity * oi.price) as revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN orderitems oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id GROUP BY c.name, month ORDER BY c.name, month;",Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),1.6174604892730713,0.0,0.0,0.0,80.52734375,80.5390625,0.01171875,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_gist,gist,"SELECT c.name as category_name, DATE_TRUNC('month', o.order_date) as month, COUNT(DISTINCT o.order_id) as total_orders, SUM(oi.quantity) as items_sold, SUM(oi.quantity * oi.price) as revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN orderitems oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id GROUP BY c.name, month ORDER BY c.name, month;",GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),1.6198430061340332,0.0,0.0,0.0,80.54296875,80.55859375,0.015625,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_reverse,reverse,"SELECT c.name as category_name, DATE_TRUNC('month', o.order_date) as month, COUNT(DISTINCT o.order_id) as total_orders, SUM(oi.quantity) as items_sold, SUM(oi.quantity * oi.price) as revenue FROM categories c JOIN products p ON c.category_id = p.category_id JOIN orderitems oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id GROUP BY c.name, month ORDER BY c.name, month;",Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),1.5181467533111572,0.0,0.0,0.0,80.55859375,80.5703125,0.01171875,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
customer_order_trends,btree,"SELECT u.user_id, DATE_TRUNC('month', o.order_date) as month, COUNT(o.order_id) as orders_per_month, AVG(o.total_amount) as avg_order_value, SUM(oi.quantity) as total_items FROM users u JOIN orders o ON u.user_id = o.user_id JOIN orderitems oi ON o.order_id = oi.order_id GROUP BY u.user_id, month ORDER BY u.user_id, month;",B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),1.4362022876739502,0.0,0.0,0.0,80.5703125,197.61328125,117.04296875,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_hash,hash,"SELECT u.user_id, DATE_TRUNC('month', o.order_date) as month, COUNT(o.order_id) as orders_per_month, AVG(o.total_amount) as avg_order_value, SUM(oi.quantity) as total_items FROM users u JOIN orders o ON u.user_id = o.user_id JOIN orderitems oi ON o.order_id = oi.order_id GROUP BY u.user_id, month ORDER BY u.user_id, month;",Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),1.4121665954589844,0.0,0.0,0.0,83.3359375,197.34765625,114.01171875,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_bitmap,bitmap,"SELECT u.user_id, DATE_TRUNC('month', o.order_date) as month, COUNT(o.order_id) as orders_per_month, AVG(o.total_amount) as avg_order_value, SUM(oi.quantity) as total_items FROM users u JOIN orders o ON u.user_id = o.user_id JOIN orderitems oi ON o.order_id = oi.order_id GROUP BY u.user_id, month ORDER BY u.user_id, month;",Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),1.3443491458892822,0.0,0.0,0.0,85.234375,197.359375,112.125,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_gist,gist,"SELECT u.user_id, DATE_TRUNC('month', o.order_date) as month, COUNT(o.order_id) as orders_per_month, AVG(o.total_amount) as avg_order_value, SUM(oi.quantity) as total_items FROM users u JOIN orders o ON u.user_id = o.user_id JOIN orderitems oi ON o.order_id = oi.order_id GROUP BY u.user_id, month ORDER BY u.user_id, month;",GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),1.433295488357544,0.0,0.0,0.0,86.703125,197.6875,110.984375,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_reverse,reverse,"SELECT u.user_id, DATE_TRUNC('month', o.order_date) as month, COUNT(o.order_id) as orders_per_month, AVG(o.total_amount) as avg_order_value, SUM(oi.quantity) as total_items FROM users u JOIN orders o ON u.user_id = o.user_id JOIN orderitems oi ON o.order_id = oi.order_id GROUP BY u.user_id, month ORDER BY u.user_id, month;",Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),1.6573667526245117,0.0,0.0,0.0,87.0234375,197.42578125,110.40234375,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
