quiri,select_count,insert_count,update_count,delete_count,create_count,drop_count,alter_count,join_count,where_count,group_by_count,order_by_count,having_count,limit_count,between_count,in_count,like_count,from_count,on_count,as_count,desc_count,count_count,sum_count,avg_count,distinct_count,target
select * from orders where order_date >= '2023-10-26' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date >= '2023-01-01' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date < '2024-01-01',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,reverse
select * from orders where order_date >= '2023-10-26 00:00:00' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date < '2023-10-26',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,reverse
select * from orders where order_date between '2023-10-26 00:00:00' and '2023-10-27 00:00:00' order by order_date desc,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date < '2024-01-01' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
"select order_id, order_date from orders where order_date >= '2023-01-01' order by order_date desc limit 1000",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date between '2023-10-26 00:00:00' and '2024-01-26 00:00:00' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date < '2023-10-26' order by order_date desc limit 10,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date between '2023-01-01 00:00:00' and '2024-01-01 00:00:00' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date < '2023-10-26 00:00:00' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date >= '2023-10-26' order by order_date desc limit 10,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,reverse
select * from orders where order_date between '2024-01-01 00:00:00' and '2024-12-31 23:59:59' order by order_date desc limit 100,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,reverse
