query_name,index_type,index_description,index_statement,execution_time,cpu_start,cpu_end,cpu_change,memory_start,memory_end,memory_change,result_count,select,insert,update,delete,create,drop,alter,join,where,group by,order by,having,limit,between,in,like,error,base_query
address_ending_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.0026047229766845,0.0,0.0,0.0,110.546875,110.546875,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,,address_ending
address_search,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.0032784938812255,0.0,0.0,0.0,110.5703125,110.5703125,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,,address_search
analytics_status_count_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.0427489280700683,0.0,0.0,0.0,98.8984375,98.8984375,0.0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,analytics_status_count
category_lookup_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.0019223690032958,0.0,0.0,0.0,93.43359375,93.43359375,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,category_lookup
category_performance_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),1.5292415618896484,0.0,0.0,0.0,80.45703125,80.45703125,0.0,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,,category_performance
category_products_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.0020391941070556,0.0,0.0,0.0,93.4375,93.4375,0.0,101,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,category_products
complex_and_or_filter_btree,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.0021049976348876,0.0,0.0,0.0,98.90234375,98.90234375,0.0,182,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,complex_and_or_filter
complex_range_query,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.1311471462249755,0.0,0.0,0.0,110.5703125,110.5703125,0.0,2436,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,,complex_range_query
customer_domain_analysis_btree,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),1.4225914478302002,0.0,0.0,0.0,110.5703125,110.5703125,0.0,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,5,0,,customer_domain_analysis
customer_location_search,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.0023770332336425,0.0,0.0,0.0,109.5703125,109.5703125,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,1,,customer_location_search
